Rk,Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,League,Season,TeamID
83,Stoke City,30,38.0,34,390,122,31.3,10.26,3.21,0.09,0.28,17.5,11,0,3,37.5,35.3,0.09,-3.5,-1.3,Premier League,2017-2018,55848606059653975
84,Strasbourg,25,38.0,43,464,127,27.4,12.21,3.34,0.08,0.28,18.0,22,7,7,45.4,40.1,0.09,-1.4,-3.1,Ligue 1,2017-2018,92234479374253707
85,Stuttgart,26,34.0,35,364,117,32.1,10.71,3.44,0.09,0.29,17.2,17,1,3,39.6,37.4,0.11,-4.6,-3.4,Bundesliga,2017-2018,81761661302668293
86,Swansea City,26,38.0,27,337,94,27.9,8.87,2.47,0.08,0.28,17.5,15,1,1,30.5,29.8,0.09,-3.5,-3.8,Premier League,2017-2018,11897392087106032
87,Torino,27,38.0,53,460,154,33.5,12.11,4.05,0.12,0.34,16.7,20,0,2,47.1,45.5,0.1,5.9,7.5,Serie A,2017-2018,21846272194836439
88,Tottenham,25,38.0,70,626,212,33.9,16.47,5.58,0.11,0.32,17.4,27,2,3,67.3,65.0,0.11,2.7,3.0,Premier League,2017-2018,22006624071753704
89,Toulouse,25,38.0,35,437,140,32.0,11.5,3.68,0.06,0.19,18.0,24,8,11,46.0,37.8,0.09,-10.0,-9.8,Ligue 1,2017-2018,94523000561782573
90,Troyes,25,38.0,30,365,124,34.0,9.61,3.26,0.08,0.23,17.7,16,2,3,36.9,34.6,0.1,-6.9,-6.6,Ligue 1,2017-2018,57069542099991496
91,Udinese,27,38.0,45,445,133,29.9,11.71,3.5,0.09,0.29,17.9,13,7,7,43.6,38.3,0.09,2.4,0.7,Serie A,2017-2018,48393495896639342
92,Valencia,25,38.0,63,483,178,36.9,12.71,4.68,0.11,0.31,17.7,26,8,8,56.0,49.9,0.11,7.0,5.1,La Liga,2017-2018,65158650443085242
93,Villarreal,32,38.0,56,491,170,34.6,12.92,4.47,0.11,0.31,18.1,16,4,5,52.2,48.4,0.1,3.8,3.6,La Liga,2017-2018,63335634096533483
94,Watford,29,38.0,42,437,128,29.3,11.5,3.37,0.09,0.3,17.1,9,3,6,47.4,42.6,0.1,-5.4,-3.6,Premier League,2017-2018,73743918793554398
95,Werder Bremen,25,34.0,34,437,143,32.7,12.85,4.21,0.08,0.24,17.1,20,0,0,39.9,39.9,0.09,-5.9,-5.9,Bundesliga,2017-2018,59303898890876434
96,West Brom,24,38.0,31,383,106,27.7,10.08,2.79,0.08,0.28,16.9,15,1,1,34.4,33.7,0.09,-3.4,-3.7,Premier League,2017-2018,26775906631723373
97,West Ham,27,38.0,48,369,128,34.7,9.71,3.37,0.12,0.36,17.4,17,2,4,39.9,36.8,0.1,8.1,9.2,Premier League,2017-2018,57680956417459581
98,Wolfsburg,29,34.0,36,349,114,32.7,10.26,3.35,0.1,0.31,18.3,23,1,6,39.2,34.4,0.1,-3.2,0.6,Bundesliga,2017-2018,85159484018358879
