Rk,Squad,# Pl,90s,Att,Pass Types: Live,Pass Types: Dead,Pass Types: FK,Pass Types: TB,Pass Types: Press,Pass Types: Sw,Pass Types: Crs,Pass Types: CK,Corner Kicks: In,Corner Kicks: Out,Corner Kicks: Str,Height: Ground,Height: Low,Height: High,Body Parts: Left,Body Parts: Right,Body Parts: Head,Body Parts: TI,Body Parts: Other,Outcomes: Cmp,Outcomes: Off,Outcomes: Out,Outcomes: Int,Outcomes: Blocks,League,Season,TeamID
56,Marseille,23,28.0,14652,13251,1401,384,31,2289,396,340,151,42,67,24,9813,2262,2577,3112,9882,490,651,211,12013,20,228,213,338,Ligue 1,2019-2020,66190039714113630
57,Metz,24,28.0,12397,11061,1336,363,18,2173,319,303,117,47,44,13,7874,1680,2843,2580,8235,445,574,197,9635,29,259,203,296,Ligue 1,2019-2020,14635757597311544
58,Milan,32,38.0,20763,18897,1866,552,40,3059,526,505,208,81,76,7,14114,3114,3535,8213,10506,588,743,298,17281,52,260,302,438,Serie A,2019-2020,59378513948613436
59,Monaco,28,28.0,14370,13005,1365,409,45,2362,407,345,132,37,69,6,9597,2237,2536,4040,8895,422,542,222,11748,40,223,233,339,Ligue 1,2019-2020,79093238158793616
60,Montpellier,27,28.0,12594,11160,1434,418,20,2156,513,391,129,66,44,11,7048,2273,3273,2874,7931,530,594,291,9682,35,285,223,360,Ligue 1,2019-2020,32434714471076965
61,Nantes,29,28.0,13416,11976,1440,386,21,2329,343,280,150,61,57,12,8787,1856,2773,4560,7101,591,647,204,10599,40,256,251,312,Ligue 1,2019-2020,25802633648495862
62,Napoli,25,38.0,24509,22647,1862,606,54,3587,690,576,222,72,97,13,17943,3383,3183,7993,14803,504,709,270,21244,43,267,285,514,Serie A,2019-2020,10516137814401134
63,Newcastle Utd,28,38.0,14206,12436,1770,476,24,2793,563,383,151,61,58,12,8013,2145,4048,4099,7994,687,709,199,10500,70,309,228,382,Premier League,2019-2020,29528772732587842
64,Nice,31,28.0,15539,14198,1341,396,29,2110,409,260,131,45,51,11,11824,1867,1848,5288,9104,274,522,195,13378,20,257,241,279,Ligue 1,2019-2020,11720969662561653
65,Nîmes,28,28.0,11140,9521,1619,458,22,1765,403,322,143,47,71,15,6018,2027,3095,3813,5466,580,730,149,8170,34,242,168,347,Ligue 1,2019-2020,83514802313158576
66,Norwich City,30,38.0,18286,16433,1853,462,38,3625,466,259,162,66,78,10,12107,2918,3261,5432,10795,649,767,285,14610,44,348,275,448,Premier League,2019-2020,42809968147687487
67,Osasuna,31,38.0,15680,13644,2036,533,31,2645,629,533,179,62,71,7,7507,3255,4918,4783,7853,1162,925,254,11102,67,448,226,487,La Liga,2019-2020,83352675823776457
68,Paderborn 07,27,34.0,15062,13187,1875,422,19,2758,557,313,176,60,76,16,9166,2523,3373,3752,9169,618,885,325,11645,47,317,269,500,Bundesliga,2019-2020,13210847894253626
69,Paris S-G,31,27.0,18987,17764,1223,316,73,2781,358,414,181,83,42,10,14842,2358,1787,6531,11306,316,508,182,16845,49,186,275,319,Ligue 1,2019-2020,11177590892093073
70,Parma,25,38.0,15701,13798,1903,527,31,2320,623,419,165,68,49,20,9392,2500,3809,4939,8827,570,734,209,12330,54,304,273,400,Serie A,2019-2020,62695319081093388
71,RB Leipzig,29,34.0,19986,18285,1701,467,54,3171,456,405,188,80,65,16,13338,3279,3369,4466,13372,730,739,325,16395,69,285,321,506,Bundesliga,2019-2020,68159208261559796
72,Real Madrid,26,38.0,23814,21985,1829,539,58,3105,1052,608,193,43,70,12,16697,3193,3924,5513,16135,707,785,378,20329,68,352,302,479,La Liga,2019-2020,29627131003986350
73,Real Sociedad,27,38.0,19938,17963,1975,600,35,3360,485,488,180,84,35,16,13156,2890,3892,7018,10366,877,868,231,16055,68,377,279,508,La Liga,2019-2020,57299950304530590
74,Reims,26,28.0,13063,11595,1468,416,30,2315,468,344,142,30,76,15,8337,2132,2594,4867,6645,433,651,198,10361,40,266,256,318,Ligue 1,2019-2020,67732085073987538
