Rk,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,League,Season,TeamID
91,Union Berlin,23,10.0,175,17.5,129,18,4,12,8,4,24,2.4,17,1,3,2,1,0,Bundesliga,2021-2022,71630543971501382
92,Valencia,26,12.0,217,18.08,149,28,10,4,21,5,22,1.83,16,2,0,0,3,1,La Liga,2021-2022,65158650443085242
93,Venezia,29,11.0,145,13.18,104,13,6,4,11,7,16,1.45,12,1,1,0,2,0,Serie A,2021-2022,94916874898547392
94,Villarreal,26,11.0,184,16.73,146,14,11,5,6,2,23,2.09,17,1,3,2,0,0,La Liga,2021-2022,63335634096533483
95,Watford,26,10.0,164,16.4,127,9,14,7,5,2,19,1.9,11,2,2,3,1,0,Premier League,2021-2022,73743918793554398
96,West Ham,18,10.0,242,24.2,167,23,10,21,11,10,32,3.2,24,2,1,4,0,1,Premier League,2021-2022,57680956417459581
97,Wolfsburg,24,10.0,205,20.5,136,24,18,12,12,3,15,1.5,9,0,1,4,1,0,Bundesliga,2021-2022,85159484018358879
98,Wolves,18,10.0,178,19.78,125,8,23,7,8,7,14,1.56,7,0,3,2,2,0,Premier League,2021-2022,24001928852251903
1,Alavés,30,38.0,511,13.45,326,79,24,27,38,17,54,1.42,26,8,4,4,8,4,La Liga,2020-2021,37745278530914180
2,Angers,31,38.0,630,16.58,454,48,44,26,38,20,57,1.5,34,7,4,4,7,1,Ligue 1,2020-2021,66587352409382849
3,Arminia,26,34.0,481,14.15,334,47,34,21,30,15,43,1.26,32,1,3,2,2,3,Bundesliga,2020-2021,60726784699523350
4,Arsenal,29,38.0,723,19.03,552,40,41,34,46,10,95,2.5,67,2,7,8,10,1,Premier League,2020-2021,5838645288327307
5,Aston Villa,24,38.0,839,22.08,601,81,53,39,53,12,86,2.26,61,7,2,6,7,3,Premier League,2020-2021,14348480492050895
6,Atalanta,30,38.0,1027,27.03,787,62,63,52,45,18,154,4.05,120,7,12,7,5,3,Serie A,2020-2021,87465877057901989
7,Athletic Club,27,38.0,658,17.32,493,59,33,20,40,13,77,2.03,56,5,3,5,6,2,La Liga,2020-2021,4823083458145023
8,Atlético Madrid,25,38.0,723,19.03,522,72,48,33,37,11,117,3.08,83,7,9,4,11,3,La Liga,2020-2021,74713976168286555
