Rk,Squad,# Pl,90s,Goals GA,Goals PKA,Goals FK,Goals CK,Goals OG,Expected PSxG,Expected PSxG/SoT,Expected PSxG+/-,Expected /90,Launched Cmp,Launched Att,Launched Cmp%,Passes Att,Passes Thr,Passes Launch%,Passes AvgLen,Goal Kicks Att,Goal Kicks Launch%,Goal Kicks AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist,League,Season,TeamID
38,Hellas Verona,2,11.0,20,2,0,1,2,17.8,0.32,-0.2,-0.02,77,211,36.5,261,54,60.5,44.6,77,68.8,48.5,98,6,6.1,4,0.36,13.7,Serie A,2021-2022,45227680351245381
39,Hertha BSC,1,10.0,23,3,1,3,0,20.3,0.42,-2.7,-0.27,66,172,38.4,268,55,39.9,36.3,93,69.9,53.5,111,2,1.8,5,0.5,13.0,Bundesliga,2021-2022,59737400018465050
40,Hoffenheim,1,10.0,15,0,0,2,0,15.0,0.35,0.0,0.0,50,147,34.0,370,54,33.0,33.2,78,32.1,31.3,77,5,6.5,13,1.3,14.9,Bundesliga,2021-2022,29322720181807625
41,Inter,1,11.0,12,3,0,2,0,11.3,0.21,-0.7,-0.06,65,122,53.3,305,49,34.1,31.6,56,32.1,30.7,87,3,3.4,2,0.18,11.5,Serie A,2021-2022,53198597771575973
42,Juventus,2,11.0,15,1,0,4,0,15.2,0.35,0.2,0.01,50,105,47.6,249,48,34.5,34.9,71,26.8,29.4,101,7,6.9,3,0.27,12.7,Serie A,2021-2022,19371054131726661
43,Köln,1,10.0,18,0,0,4,1,17.5,0.38,0.5,0.05,68,122,55.7,307,35,32.6,34.9,67,32.8,35.4,71,3,4.2,10,1.0,16.2,Bundesliga,2021-2022,39731782814123330
44,Lazio,1,11.0,19,2,0,2,0,17.6,0.39,-1.4,-0.13,77,149,51.7,331,53,36.3,34.1,78,37.2,33.7,102,4,3.9,8,0.73,14.2,Serie A,2021-2022,90751438076496109
45,Leeds United,1,10.0,17,1,0,4,1,14.6,0.27,-1.4,-0.14,42,116,36.2,316,73,28.5,29.7,87,29.9,31.4,56,8,14.3,14,1.4,16.1,Premier League,2021-2022,34570153325607342
46,Leicester City,1,10.0,17,2,0,2,1,11.9,0.23,-4.1,-0.41,67,177,37.9,304,48,46.1,39.2,91,40.7,38.7,94,8,8.5,6,0.6,13.1,Premier League,2021-2022,18776461863573874
47,Lens,1,12.0,14,2,1,0,0,13.8,0.32,-0.2,-0.02,56,140,40.0,256,64,39.8,36.8,74,51.4,43.5,92,15,16.3,6,0.5,13.3,Ligue 1,2021-2022,74951719010833888
48,Levante,3,12.0,23,1,0,5,0,14.7,0.25,-5.3,-0.48,62,140,44.3,243,49,44.0,39.3,72,45.8,37.1,99,4,4.0,8,0.73,14.3,La Liga,2021-2022,1566092639264277
49,Leverkusen,1,10.0,16,1,1,1,0,17.8,0.29,1.8,0.18,61,167,36.5,319,58,37.0,35.3,83,59.0,48.3,80,5,6.3,10,1.0,16.1,Bundesliga,2021-2022,36794408106212849
50,Lille,2,12.0,18,2,1,4,0,15.9,0.28,-2.1,-0.17,61,152,40.1,250,52,42.4,37.7,84,54.8,45.2,107,10,9.3,10,0.83,16.0,Ligue 1,2021-2022,85603837513355486
51,Liverpool,2,10.0,8,0,0,1,0,8.3,0.28,0.3,0.03,59,100,59.0,305,51,23.6,30.2,58,48.3,40.2,80,8,10.0,13,1.3,16.4,Premier League,2021-2022,41956650829873911
52,Lorient,1,12.0,18,2,2,2,0,17.1,0.3,-0.9,-0.07,45,200,22.5,200,40,56.0,45.4,107,82.2,62.7,120,4,3.3,2,0.17,12.9,Ligue 1,2021-2022,37325341301512527
53,Lyon,2,12.0,17,4,1,1,2,17.4,0.22,2.4,0.2,54,101,53.5,294,62,26.2,31.4,89,27.0,31.2,103,5,4.9,10,0.83,15.6,Ligue 1,2021-2022,87005642993871754
54,M'Gladbach,1,10.0,13,0,1,1,1,12.9,0.32,0.9,0.09,57,131,43.5,341,45,31.1,32.8,62,40.3,39.1,65,5,7.7,12,1.2,15.5,Bundesliga,2021-2022,81611584009946193
55,Mainz 05,1,10.0,10,1,0,0,0,10.3,0.32,0.3,0.03,42,136,30.9,240,54,41.3,37.6,77,48.1,44.9,85,6,7.1,13,1.3,16.7,Bundesliga,2021-2022,71158960989778912
56,Mallorca,2,12.0,17,1,1,0,1,12.0,0.26,-4.0,-0.33,78,213,36.6,274,49,56.6,44.7,101,57.4,43.5,109,10,9.2,9,0.75,14.6,La Liga,2021-2022,96459977719332900
