Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,League,Season,PlayerID
102,Bernd Leno,GER,GK,Leverkusen,25,1992,33,33,2970,33.0,40,1.21,104,68,66.3,15,10,8,10,30.3,5,5,0,0,0.0,Bundesliga,2017-2018,77200205388
103,Alexandre Letellier,FRA,GK,Angers,26,1990,13,13,1170,13.0,17,1.31,46,32,67.4,2,7,4,1,7.7,2,2,0,0,0.0,Ligue 1,2017-2018,84648042101
104,Raúl Lizoain,ESP,GK,Las Palmas,26,1991,11,11,990,11.0,27,2.45,61,36,59.0,1,2,8,1,9.1,2,2,0,0,0.0,La Liga,2017-2018,26114401728
105,Hugo Lloris,FRA,GK,Tottenham,30,1986,36,36,3240,36.0,35,0.97,116,82,71.6,22,7,7,15,41.7,3,2,1,0,33.3,Premier League,2017-2018,57748648307
106,Anthony Lopes,POR,GK,Lyon,26,1990,34,34,3060,34.0,37,1.09,135,106,76.3,21,8,5,14,41.2,8,5,2,1,28.6,Ligue 1,2017-2018,49478392408
107,Diego López,ESP,GK,Espanyol,35,1981,10,10,854,9.5,11,1.16,38,30,73.7,3,5,2,3,30.0,2,1,1,0,50.0,La Liga,2017-2018,93445177152
108,Pau López,ESP,GK,Espanyol,22,1994,29,28,2566,28.5,31,1.09,128,100,78.1,9,8,11,9,32.1,5,3,1,1,25.0,La Liga,2017-2018,5368001011
109,Pedro López,ESP,GK,Betis,22,1995,5,4,411,4.6,8,1.75,18,10,55.6,1,1,2,1,25.0,0,0,0,0,0,La Liga,2017-2018,43899510544
110,Jonas Lössl,DEN,GK,Huddersfield,28,1989,38,38,3420,38.0,57,1.50,153,97,65.4,9,10,19,10,26.3,6,4,2,0,33.3,Premier League,2017-2018,40457869297
111,Andreas Luthe,GER,GK,Augsburg,30,1987,2,2,180,2.0,4,2.00,6,3,50.0,0,1,1,0,0.0,1,1,0,0,0.0,Bundesliga,2017-2018,99460158969
112,Raïs M'Bolhi,ALG,GK,Rennes,31,1986,1,1,90,1.0,3,3.00,5,4,80.0,0,0,1,0,0.0,2,2,0,0,0.0,Ligue 1,2017-2018,8755090570
113,Mike Maignan,FRA,GK,Lille,22,1995,34,34,3033,33.7,53,1.57,160,112,68.8,10,7,17,5,14.7,6,3,2,1,40.0,Ligue 1,2017-2018,59731047137
114,Steve Mandanda,FRA,GK,Marseille,32,1985,31,31,2680,29.8,37,1.24,118,85,72.0,18,8,4,11,35.5,6,4,1,1,20.0,Ligue 1,2017-2018,88793810377
115,Gabriele Marchegiani,ITA,GK,SPAL,21,1996,1,0,1,0.0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,Serie A,2017-2018,6783402376
116,Emiliano Martínez,ARG,GK,Getafe,24,1992,5,5,450,5.0,7,1.40,19,13,68.4,2,1,2,2,40.0,1,1,0,0,0.0,La Liga,2017-2018,86953694082
117,Christian Mathenia,GER,GK,Hamburger SV,25,1992,24,24,2160,24.0,38,1.58,93,58,62.4,4,6,14,6,25.0,4,3,0,1,0.0,Bundesliga,2017-2018,94251626411
118,Alex McCarthy,ENG,GK,Southampton,27,1989,18,18,1620,18.0,26,1.44,67,41,62.7,3,8,7,4,22.2,1,1,0,0,0.0,Premier League,2017-2018,13659707420
120,Alex Meret,ITA,GK,SPAL,20,1997,13,13,1158,12.9,16,1.24,56,45,76.8,2,7,4,4,30.8,6,3,2,1,40.0,Serie A,2017-2018,71164801366
