Rk,Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,League,Season,TeamID
82,Sheffield Utd,1,38,38,3420,38.0,63,1.66,205,145,70.7,7,2,29,5,13.2,4,3,0,1,0.0,Premier League,2020-2021,93216768512646707
83,Southampton,2,38,38,3420,38.0,68,1.79,169,109,64.5,12,7,19,9,23.7,9,8,1,0,11.1,Premier League,2020-2021,21037626007536306
84,Spezia,3,38,38,3420,38.0,72,1.89,169,105,62.7,9,12,17,5,13.2,10,9,1,0,10.0,Serie A,2020-2021,41730244034743257
85,Strasbourg,3,38,38,3420,38.0,58,1.53,147,95,64.6,11,9,18,10,26.3,8,6,1,1,14.3,Ligue 1,2020-2021,92234479374253707
86,Stuttgart,2,34,34,3060,34.0,55,1.62,164,113,69.5,12,9,13,5,14.7,7,5,2,0,28.6,Bundesliga,2020-2021,81761661302668293
87,Torino,3,38,38,3420,38.0,69,1.82,151,90,60.3,7,16,15,8,21.1,10,9,0,1,0.0,Serie A,2020-2021,21846272194836439
88,Tottenham,1,38,38,3420,38.0,45,1.18,144,111,75.7,18,8,12,12,31.6,10,10,0,0,0.0,Premier League,2020-2021,22006624071753704
89,Udinese,4,38,38,3420,38.0,58,1.53,150,106,70.7,10,10,18,8,21.1,14,14,0,0,0.0,Serie A,2020-2021,48393495896639342
90,Union Berlin,2,34,34,3060,34.0,43,1.26,128,89,69.5,12,14,8,7,20.6,5,4,1,0,20.0,Bundesliga,2020-2021,71630543971501382
91,Valencia,2,38,38,3420,38.0,53,1.39,169,119,71.6,10,13,15,7,18.4,8,5,3,0,37.5,La Liga,2020-2021,65158650443085242
92,Valladolid,2,38,38,3420,38.0,57,1.5,155,102,67.1,5,16,17,3,7.9,7,6,0,1,0.0,La Liga,2020-2021,44089518275887893
93,Villarreal,2,38,38,3420,38.0,45,1.18,122,87,68.9,15,13,10,10,26.3,9,7,1,1,12.5,La Liga,2020-2021,63335634096533483
94,Werder Bremen,1,34,34,3060,34.0,57,1.68,150,100,64.7,7,10,17,6,17.6,6,4,2,0,33.3,Bundesliga,2020-2021,59303898890876434
95,West Brom,2,38,38,3420,38.0,76,2.0,235,166,70.6,5,11,22,6,15.8,12,7,2,3,22.2,Premier League,2020-2021,26775906631723373
96,West Ham,2,38,38,3420,38.0,47,1.24,143,102,69.2,19,8,11,11,28.9,6,3,2,1,40.0,Premier League,2020-2021,57680956417459581
97,Wolfsburg,2,34,34,3060,34.0,37,1.09,115,81,70.4,17,10,7,14,41.2,5,3,2,0,40.0,Bundesliga,2020-2021,85159484018358879
98,Wolves,2,38,38,3420,38.0,52,1.37,144,99,68.8,12,9,17,10,26.3,8,7,1,0,12.5,Premier League,2020-2021,24001928852251903
1,Alavés,3,38,38,3418,38.0,59,1.55,147,98,68.0,10,9,19,9,23.7,15,12,3,0,20.0,La Liga,2019-2020,37745278530914180
2,Amiens,1,28,28,2520,28.0,50,1.79,140,92,65.0,4,11,13,5,17.9,1,1,0,0,0.0,Ligue 1,2019-2020,20069478421376018
3,Angers,2,28,28,2520,28.0,33,1.18,85,56,64.7,11,6,11,12,42.9,3,3,0,0,0.0,Ligue 1,2019-2020,66587352409382849
4,Arsenal,2,38,38,3420,38.0,48,1.26,189,143,78.3,14,14,10,10,26.3,8,7,1,0,12.5,Premier League,2019-2020,5838645288327307
5,Aston Villa,4,38,38,3420,38.0,67,1.76,175,113,64.6,9,8,21,7,18.4,6,5,1,0,16.7,Premier League,2019-2020,14348480492050895
6,Atalanta,3,38,38,3420,38.0,48,1.26,133,92,68.4,23,9,6,10,26.3,6,6,0,0,0.0,Serie A,2019-2020,87465877057901989
7,Athletic Club,2,38,38,3416,38.0,38,1.0,121,87,72.7,13,12,13,12,31.6,7,5,0,2,0.0,La Liga,2019-2020,4823083458145023
8,Atlético Madrid,2,38,38,3420,38.0,27,0.71,106,83,77.4,18,16,4,17,44.7,4,3,0,1,0.0,La Liga,2019-2020,74713976168286555
9,Augsburg,2,34,34,3060,34.0,63,1.85,157,95,59.9,9,9,16,7,20.6,1,0,1,0,100.0,Bundesliga,2019-2020,82828683183786310
10,Barcelona,2,38,38,3420,38.0,38,1.0,113,79,71.7,25,7,6,15,39.5,7,6,1,0,14.3,La Liga,2019-2020,81744823723090567
11,Bayern Munich,2,34,34,3060,34.0,32,0.94,114,86,74.6,26,4,4,15,44.1,4,3,1,0,25.0,Bundesliga,2019-2020,7510926916741648
12,Betis,2,38,38,3418,38.0,60,1.58,144,94,66.0,10,11,17,6,15.8,11,11,0,0,0.0,La Liga,2019-2020,9423348454032625
13,Bologna,2,38,38,3420,38.0,65,1.71,182,123,67.6,12,11,15,2,5.3,8,6,1,1,14.3,Serie A,2019-2020,23275147453355121
14,Bordeaux,1,28,28,2520,28.0,34,1.21,106,75,69.8,9,10,9,6,21.4,3,2,1,0,33.3,Ligue 1,2019-2020,12683680850395737
15,Bournemouth,2,38,38,3420,38.0,65,1.71,182,122,67.0,9,7,22,5,13.2,6,5,1,0,16.7,Premier League,2019-2020,36088947257895306
16,Brescia,3,38,38,3420,38.0,79,2.08,228,158,69.3,6,7,25,6,15.8,11,9,1,1,10.0,Serie A,2019-2020,24926529561002350
17,Brest,2,28,28,2520,28.0,37,1.32,138,103,76.1,8,10,10,8,28.6,6,4,1,1,20.0,Ligue 1,2019-2020,27328509848090670
18,Brighton,1,38,38,3420,38.0,54,1.42,164,114,68.3,9,14,15,9,23.7,2,2,0,0,0.0,Premier League,2019-2020,49072214318111932
19,Burnley,1,38,38,3420,38.0,50,1.32,159,112,71.1,15,9,14,15,39.5,5,4,1,0,20.0,Premier League,2019-2020,21823480134907726
20,Cagliari,3,38,38,3418,38.0,56,1.47,184,135,73.4,11,12,15,7,18.4,9,7,1,1,12.5,Serie A,2019-2020,32968728316179674
21,Celta Vigo,3,38,38,3420,38.0,49,1.29,141,96,68.8,7,16,15,12,31.6,5,5,0,0,0.0,La Liga,2019-2020,14218303985450920
22,Chelsea,2,38,38,3420,38.0,54,1.42,115,65,54.8,20,6,12,9,23.7,2,2,0,0,0.0,Premier League,2019-2020,58172670324373785
23,Crystal Palace,2,38,38,3420,38.0,50,1.32,169,120,70.4,11,10,17,10,26.3,1,0,0,1,0.0,Premier League,2019-2020,15352059381074619
24,Dijon,2,28,28,2520,28.0,37,1.32,129,94,72.1,7,9,12,6,21.4,1,1,0,0,0.0,Ligue 1,2019-2020,59239312409540653
25,Dortmund,2,34,34,3060,34.0,41,1.21,100,65,62.0,21,6,7,15,44.1,3,3,0,0,0.0,Bundesliga,2019-2020,6921931827204601
