Rk,Squad,# Pl,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,League,Season,TeamID
11,Bayern Munich,29,27.3,34,3060,90,100,34.0,374,82.0,237.0,137,21,163,2.29,99,44,55,1.62,75.8,41.0,34.8,1.02,Bundesliga,2020-2021,7510926916741648
12,Benevento,29,28.7,38,3420,90,100,38.0,418,80.0,238.0,178,24,258,0.87,40,75,-35,-0.92,41.6,66.1,-24.5,-0.64,Serie A,2020-2021,38159059008947812
13,Betis,25,27.9,38,3420,90,100,38.0,418,82.0,258.0,155,21,276,1.61,50,50,0,0.0,46.0,45.5,0.5,0.01,La Liga,2020-2021,9423348454032625
14,Bologna,37,27.2,38,3420,90,100,38.0,418,81.0,243.0,172,21,275,1.08,51,65,-14,-0.37,53.4,64.7,-11.2,-0.3,Serie A,2020-2021,23275147453355121
15,Bordeaux,28,27.6,38,3420,90,100,38.0,418,81.0,245.0,169,22,172,1.18,42,56,-14,-0.37,41.9,56.7,-14.8,-0.39,Ligue 1,2020-2021,12683680850395737
16,Brest,26,24.9,38,3420,90,100,38.0,418,84.0,269.0,146,17,194,1.08,50,66,-16,-0.42,47.5,55.6,-8.2,-0.21,Ligue 1,2020-2021,27328509848090670
17,Brighton,27,25.8,38,3420,90,100,38.0,418,85.0,305.0,108,20,208,1.08,40,46,-6,-0.16,51.6,37.7,13.9,0.37,Premier League,2020-2021,49072214318111932
18,Burnley,25,28.3,38,3420,90,100,38.0,418,86.0,339.0,81,19,235,1.03,33,55,-22,-0.58,39.9,57.6,-17.7,-0.47,Premier League,2020-2021,21823480134907726
19,Cádiz,34,28.8,38,3420,90,100,38.0,418,80.0,236.0,180,23,262,1.16,36,58,-22,-0.58,34.0,55.0,-21.0,-0.55,La Liga,2020-2021,1007679934589500
20,Cagliari,32,26.5,38,3420,90,100,38.0,418,84.0,252.0,163,16,277,0.97,43,59,-16,-0.42,45.5,63.1,-17.6,-0.46,Serie A,2020-2021,32968728316179674
21,Celta Vigo,30,26.6,38,3420,90,100,38.0,418,83.0,280.0,137,20,238,1.39,55,57,-2,-0.05,47.7,49.5,-1.8,-0.05,La Liga,2020-2021,14218303985450920
22,Chelsea,27,26.0,38,3420,90,100,38.0,418,84.0,308.0,108,22,208,1.76,58,36,22,0.58,64.0,32.8,31.2,0.82,Premier League,2020-2021,58172670324373785
23,Crotone,31,27.8,38,3420,90,100,38.0,418,83.0,277.0,138,21,304,0.61,45,92,-47,-1.24,38.5,71.6,-33.1,-0.87,Serie A,2020-2021,33431629624225246
24,Crystal Palace,24,29.1,38,3420,90,100,38.0,418,86.0,321.0,95,17,208,1.16,41,66,-25,-0.66,32.4,57.5,-25.0,-0.66,Premier League,2020-2021,15352059381074619
