Rk,Squad,# Pl,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,League,Season,TeamID
51,Levante,33,38.0,10471,14379,72.8,212600,85930,4202,5200,80.8,4451,5559,80.1,1725,3274,52.7,28,29.0,-1.0,302,948,304,93,1119,La Liga,2017-2018,1566092639264277
52,Leverkusen,24,34.0,14642,18413,79.5,282222,98199,6112,7090,86.2,6171,7242,85.2,2139,3482,61.4,46,43.6,2.4,378,1140,324,92,1414,Bundesliga,2017-2018,36794408106212849
53,Lille,25,38.0,15564,19286,80.7,295958,102883,6199,7117,87.1,6881,7911,87.0,2129,3476,61.2,28,30.4,0.6,354,1220,251,68,1411,Ligue 1,2017-2018,85603837513355486
54,Liverpool,27,38.0,20257,24345,83.2,396366,123737,7654,8545,89.6,9443,10597,89.1,2824,4424,63.8,58,50.0,8.0,472,1645,503,82,1909,Premier League,2017-2018,41956650829873911
55,Lyon,26,38.0,16846,20273,83.1,323840,102526,6619,7500,88.3,7302,8261,88.4,2523,3660,68.9,48,45.4,16.6,423,1278,290,78,1373,Ligue 1,2017-2018,87005642993871754
56,M'Gladbach,27,34.0,14496,17948,80.8,284546,94880,5498,6335,86.8,6738,7638,88.2,2062,3406,60.5,26,35.6,-6.6,323,1040,268,58,1241,Bundesliga,2017-2018,81611584009946193
57,Mainz 05,27,34.0,10117,13929,72.6,212928,80582,3707,4553,81.4,4398,5444,80.8,1866,3471,53.8,27,24.2,2.8,293,818,216,57,1064,Bundesliga,2017-2018,71158960989778912
58,Málaga,37,38.0,11168,15504,72.0,227163,89132,4493,5531,81.2,4667,5910,79.0,1867,3632,51.4,15,21.1,-6.1,280,932,221,88,989,La Liga,2017-2018,79809637287620621
59,Manchester City,25,38.0,26108,29601,88.2,475042,134087,11659,12598,92.5,11195,12258,91.3,2899,3964,73.1,85,63.3,20.7,494,1992,538,69,2012,Premier League,2017-2018,74026506610392765
60,Manchester Utd,27,38.0,17775,21650,82.1,329922,107293,8100,8949,90.5,6812,7836,86.9,2412,3993,60.4,53,43.8,9.2,369,1234,369,86,1409,Premier League,2017-2018,29078730489839024
61,Marseille,26,38.0,16580,20412,81.2,311663,105583,7041,7926,88.8,6937,8058,86.1,2252,3686,61.1,44,47.0,7.0,447,1241,328,129,1411,Ligue 1,2017-2018,66190039714113630
