Rk,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,xG,npxG,xA,npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,League,Season,TeamID
38,Girona,26,26.6,48.0,38,418,3420,38.0,37,23,31,6,6,81.0,4.0,0.97,0.61,1.58,0.82,1.42,38.6,34.5,25.1,59.6,1.01,0.66,1.67,0.91,1.57,La Liga,2018-2019,12545195302828957
39,Guingamp,30,26.0,44.2,38,418,3420,38.0,28,21,23,5,6,58.0,5.0,0.74,0.55,1.29,0.61,1.16,39.9,35.3,27.0,62.2,1.05,0.71,1.76,0.93,1.64,Ligue 1,2018-2019,16872092436156260
40,Hannover 96,32,26.3,46.3,34,374,3060,34.0,30,20,27,3,3,61.0,4.0,0.88,0.59,1.47,0.79,1.38,33.7,31.4,23.6,55.0,0.99,0.69,1.69,0.92,1.62,Bundesliga,2018-2019,10121335889457780
41,Hertha BSC,26,25.9,48.1,34,374,3060,34.0,49,32,45,4,4,64.0,5.0,1.44,0.94,2.38,1.32,2.26,47.9,44.9,34.3,79.3,1.41,1.01,2.42,1.32,2.33,Bundesliga,2018-2019,59737400018465050
42,Hoffenheim,29,25.5,53.6,34,374,3060,34.0,69,49,63,6,7,67.0,2.0,2.03,1.44,3.47,1.85,3.29,73.1,68.0,49.5,117.5,2.15,1.46,3.61,2.0,3.46,Bundesliga,2018-2019,29322720181807625
43,Huddersfield,31,26.2,47.0,38,418,3420,38.0,20,13,19,1,1,56.0,4.0,0.53,0.34,0.87,0.5,0.84,29.4,28.6,21.0,49.6,0.77,0.55,1.33,0.75,1.31,Premier League,2018-2019,70397411865897550
44,Huesca,30,26.7,44.7,38,418,3420,38.0,43,28,37,6,7,113.0,3.0,1.13,0.74,1.87,0.97,1.71,45.9,40.6,26.2,66.8,1.21,0.69,1.9,1.07,1.76,La Liga,2018-2019,16593090704373522
45,Inter,23,27.7,59.6,38,418,3420,38.0,57,36,49,8,9,73.0,3.0,1.5,0.95,2.45,1.29,2.24,64.1,57.2,44.1,101.3,1.69,1.16,2.85,1.51,2.67,Serie A,2018-2019,53198597771575973
46,Juventus,31,28.0,56.2,38,418,3420,38.0,66,44,59,7,8,76.0,4.0,1.74,1.16,2.89,1.55,2.71,58.2,52.1,37.0,89.1,1.53,0.97,2.5,1.37,2.35,Serie A,2018-2019,19371054131726661
47,Lazio,30,27.9,50.8,38,418,3420,38.0,54,35,48,6,6,89.0,4.0,1.42,0.92,2.34,1.26,2.18,56.4,52.0,38.9,90.9,1.49,1.02,2.51,1.37,2.39,Serie A,2018-2019,90751438076496109
48,Leganés,29,26.6,42.8,38,418,3420,38.0,36,25,33,3,5,104.0,4.0,0.95,0.66,1.61,0.87,1.53,37.4,33.8,24.5,58.3,0.99,0.64,1.63,0.89,1.53,La Liga,2018-2019,20237473683555152
49,Leicester City,25,25.9,51.1,38,418,3420,38.0,48,34,43,5,7,60.0,5.0,1.26,0.89,2.16,1.13,2.03,49.6,44.5,35.1,79.6,1.31,0.92,2.23,1.17,2.09,Premier League,2018-2019,18776461863573874
50,Levante,26,26.3,45.6,38,418,3420,38.0,56,39,51,5,7,107.0,7.0,1.47,1.03,2.5,1.34,2.37,49.9,44.5,35.1,79.6,1.31,0.92,2.24,1.17,2.1,La Liga,2018-2019,1566092639264277
