Rk,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,xG,npxG,xA,npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA,League,Season,TeamID
66,Nantes,30,25.6,43.9,38,418,3420,38.0,36,18,32,4,5,0.0,0.0,0.95,0.47,1.42,0.84,1.32,43.3,39.5,28.5,68.1,1.14,0.75,1.89,1.04,1.79,Ligue 1,2017-2018,25802633648495862
67,Napoli,23,28.0,63.2,38,418,3420,38.0,73,45,67,6,8,0.0,0.0,1.92,1.18,3.11,1.76,2.95,66.6,60.4,48.5,108.9,1.75,1.28,3.03,1.59,2.87,Serie A,2017-2018,10516137814401134
68,Newcastle Utd,27,25.6,41.7,38,418,3420,38.0,38,29,38,0,1,0.0,0.0,1.0,0.76,1.76,1.0,1.76,45.3,44.5,30.6,75.1,1.19,0.8,2.0,1.17,1.98,Premier League,2017-2018,29528772732587842
69,Nice,31,25.0,58.0,38,418,3420,38.0,52,29,44,8,10,0.0,0.0,1.37,0.76,2.13,1.16,1.92,51.7,44.3,32.6,76.8,1.36,0.86,2.22,1.17,2.02,Ligue 1,2017-2018,11720969662561653
70,Paris S-G,26,26.1,66.5,38,418,3420,38.0,100,69,93,7,9,0.0,0.0,2.63,1.82,4.45,2.45,4.26,89.2,82.7,65.0,147.7,2.35,1.71,4.06,2.18,3.89,Ligue 1,2017-2018,11177590892093073
71,RB Leipzig,23,23.4,54.9,34,374,3060,34.0,57,43,53,4,5,0.0,0.0,1.68,1.26,2.94,1.56,2.82,54.2,50.5,39.3,89.8,1.59,1.16,2.75,1.49,2.64,Bundesliga,2017-2018,68159208261559796
72,Real Madrid,24,27.1,60.5,38,418,3420,38.0,91,65,83,8,10,65.0,4.0,2.39,1.71,4.11,2.18,3.89,83.3,75.6,59.4,135.0,2.19,1.56,3.76,1.99,3.55,La Liga,2017-2018,29627131003986350
73,Real Sociedad,27,25.9,56.8,38,418,3420,38.0,64,47,60,4,5,60.0,5.0,1.68,1.24,2.92,1.58,2.82,55.0,51.2,38.6,89.9,1.45,1.02,2.46,1.35,2.36,La Liga,2017-2018,57299950304530590
74,Rennes,28,24.2,50.2,38,418,3420,38.0,48,31,42,6,8,0.0,0.0,1.26,0.82,2.08,1.11,1.92,49.4,43.5,32.1,75.6,1.3,0.85,2.15,1.14,1.99,Ligue 1,2017-2018,96819424452761337
75,Roma,27,27.4,58.0,38,418,3420,38.0,56,37,53,3,6,0.0,0.0,1.47,0.97,2.45,1.39,2.37,69.3,64.9,48.7,113.7,1.82,1.28,3.11,1.71,2.99,Serie A,2017-2018,764736481564168
76,Saint-Étienne,30,26.6,51.3,38,418,3420,38.0,45,28,38,7,11,0.0,0.0,1.18,0.74,1.92,1.0,1.74,52.0,44.1,32.9,77.0,1.37,0.87,2.24,1.16,2.03,Ligue 1,2017-2018,56226069621228236
77,Sampdoria,27,27.0,53.4,38,418,3420,38.0,56,33,49,7,8,0.0,0.0,1.47,0.87,2.34,1.29,2.16,51.3,45.2,32.8,78.1,1.35,0.86,2.21,1.19,2.05,Serie A,2017-2018,89407679695143145
78,Sassuolo,28,27.2,43.2,38,418,3420,38.0,28,16,24,4,10,0.0,0.0,0.74,0.42,1.16,0.63,1.05,49.4,41.8,29.2,71.1,1.3,0.77,2.07,1.1,1.87,Serie A,2017-2018,79200252522790650
79,Schalke 04,24,26.1,46.7,34,374,3060,34.0,50,33,40,10,10,0.0,0.0,1.47,0.97,2.44,1.18,2.15,47.8,40.2,30.4,70.6,1.41,0.9,2.3,1.18,2.08,Bundesliga,2017-2018,24345039935475884
80,Sevilla,31,27.1,54.5,38,418,3420,38.0,48,35,44,4,5,97.0,3.0,1.26,0.92,2.18,1.16,2.08,56.5,52.8,39.8,92.6,1.49,1.05,2.54,1.39,2.44,La Liga,2017-2018,22702270477938803
81,Southampton,26,26.2,51.5,38,418,3420,38.0,36,23,33,3,3,0.0,0.0,0.95,0.61,1.55,0.87,1.47,42.2,39.9,31.7,71.6,1.11,0.83,1.94,1.05,1.88,Premier League,2017-2018,21037626007536306
82,SPAL,29,26.7,45.1,38,418,3420,38.0,37,14,32,5,6,0.0,0.0,0.97,0.37,1.34,0.84,1.21,37.9,33.3,20.1,53.4,1.0,0.53,1.53,0.88,1.4,Serie A,2017-2018,73622612860183040
83,Stoke City,30,27.5,41.3,38,418,3420,38.0,34,28,34,0,3,0.0,0.0,0.89,0.74,1.63,0.89,1.63,37.5,35.3,25.8,61.1,0.99,0.68,1.67,0.93,1.61,Premier League,2017-2018,55848606059653975
84,Strasbourg,25,27.2,49.2,38,418,3420,38.0,43,28,36,7,7,0.0,0.0,1.13,0.74,1.87,0.95,1.68,45.4,40.1,28.2,68.3,1.19,0.74,1.94,1.05,1.8,Ligue 1,2017-2018,92234479374253707
85,Stuttgart,26,25.6,46.7,34,374,3060,34.0,35,22,34,1,3,0.0,0.0,1.03,0.65,1.68,1.0,1.65,39.6,37.4,24.1,61.5,1.17,0.71,1.87,1.1,1.81,Bundesliga,2017-2018,81761661302668293
86,Swansea City,26,27.2,45.2,38,418,3420,38.0,27,20,26,1,1,0.0,0.0,0.71,0.53,1.24,0.68,1.21,30.5,29.8,18.4,48.2,0.8,0.48,1.29,0.78,1.27,Premier League,2017-2018,11897392087106032
87,Torino,27,28.1,51.0,38,418,3420,38.0,53,36,53,0,2,0.0,0.0,1.39,0.95,2.34,1.39,2.34,47.1,45.5,34.8,80.3,1.24,0.92,2.15,1.2,2.11,Serie A,2017-2018,21846272194836439
88,Tottenham,25,25.8,61.9,38,418,3420,38.0,70,51,68,2,3,0.0,0.0,1.84,1.34,3.18,1.79,3.13,67.3,65.0,47.9,113.0,1.77,1.26,3.03,1.71,2.97,Premier League,2017-2018,22006624071753704
89,Toulouse,25,23.9,45.2,38,418,3420,38.0,35,24,27,8,11,0.0,0.0,0.92,0.63,1.55,0.71,1.34,46.0,37.8,28.3,66.1,1.21,0.75,1.96,0.99,1.74,Ligue 1,2017-2018,94523000561782573
90,Troyes,25,26.7,42.6,38,418,3420,38.0,30,19,28,2,3,0.0,0.0,0.79,0.5,1.29,0.74,1.24,36.9,34.6,24.7,59.3,0.97,0.65,1.62,0.91,1.56,Ligue 1,2017-2018,57069542099991496
91,Udinese,27,26.5,44.7,38,418,3420,38.0,45,27,38,7,7,0.0,0.0,1.18,0.71,1.89,1.0,1.71,43.6,38.3,29.8,68.1,1.15,0.78,1.93,1.01,1.79,Serie A,2017-2018,48393495896639342
92,Valencia,25,24.8,48.9,38,418,3420,38.0,63,45,55,8,8,103.0,5.0,1.66,1.18,2.84,1.45,2.63,56.0,49.9,38.4,88.3,1.47,1.01,2.48,1.31,2.32,La Liga,2017-2018,65158650443085242
93,Villarreal,32,26.6,50.5,38,418,3420,38.0,56,45,52,4,5,113.0,6.0,1.47,1.18,2.66,1.37,2.55,52.2,48.4,38.6,87.0,1.37,1.02,2.39,1.27,2.29,La Liga,2017-2018,63335634096533483
94,Watford,29,27.9,49.6,38,418,3420,38.0,42,27,39,3,6,0.0,0.0,1.11,0.71,1.82,1.03,1.74,47.4,42.6,29.8,72.4,1.25,0.78,2.03,1.12,1.9,Premier League,2017-2018,73743918793554398
95,Werder Bremen,25,26.3,47.5,34,374,3060,34.0,34,27,34,0,0,0.0,0.0,1.0,0.79,1.79,1.0,1.79,39.9,39.9,30.4,70.2,1.17,0.89,2.07,1.17,2.07,Bundesliga,2017-2018,59303898890876434
96,West Brom,24,29.1,40.6,38,418,3420,38.0,31,24,30,1,1,0.0,0.0,0.82,0.63,1.45,0.79,1.42,34.4,33.7,23.3,56.9,0.91,0.61,1.52,0.89,1.5,Premier League,2017-2018,26775906631723373
97,West Ham,27,28.0,45.0,38,418,3420,38.0,48,29,46,2,4,0.0,0.0,1.26,0.76,2.03,1.21,1.97,39.9,36.8,25.3,62.1,1.05,0.67,1.72,0.97,1.64,Premier League,2017-2018,57680956417459581
98,Wolfsburg,29,25.1,49.2,34,374,3060,34.0,36,26,35,1,6,0.0,0.0,1.06,0.76,1.82,1.03,1.79,39.2,34.4,25.2,59.6,1.15,0.74,1.89,1.01,1.75,Bundesliga,2017-2018,85159484018358879
