Rk,Squad,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,League,Season,TeamID
49,Leicester City,25,51.1,38.0,23693,2416,7561,11375,6298,876,21838,381,619,61.6,421,34,15387,80161,43102,1709,534,171,489,449,17925,14787,82.5,1500,Premier League,2018-2019,18776461863573874
50,Levante,26,45.6,38.0,19154,2351,6547,8919,4957,781,17245,456,761,59.9,490,21,11909,64376,35890,1487,423,138,413,490,13557,10953,80.8,1394,La Liga,2018-2019,1566092639264277
51,Leverkusen,21,59.9,34.0,26110,2147,7622,13652,6459,977,24498,376,604,62.3,401,16,18453,88483,45941,1868,542,160,495,405,20774,18327,88.2,1846,Bundesliga,2018-2019,36794408106212849
52,Lille,25,51.4,38.0,22599,2031,6842,11709,5694,780,20760,440,704,62.5,473,21,15578,81409,45761,1773,551,138,502,509,16987,14573,85.8,1550,Ligue 1,2018-2019,85603837513355486
53,Liverpool,23,61.7,38.0,29561,2063,7777,15406,8177,1292,27739,385,630,61.1,426,34,21241,95668,51960,2205,648,201,525,498,24303,21110,86.9,2160,Premier League,2018-2019,41956650829873911
54,Lyon,25,60.3,38.0,26928,2102,7249,14387,7150,1122,25201,527,803,65.6,568,19,19748,101961,57592,2353,626,227,515,460,21653,19060,88.0,2001,Ligue 1,2018-2019,87005642993871754
55,M'Gladbach,22,53.1,34.0,22563,2297,7639,11461,5186,818,21025,323,519,62.2,346,6,16402,91069,51486,1905,501,145,401,349,17820,15778,88.5,1602,Bundesliga,2018-2019,81611584009946193
56,Mainz 05,28,46.1,34.0,19316,2120,6239,9105,5178,750,17657,353,604,58.4,385,14,12540,63534,34632,1337,427,113,423,407,13944,11555,82.9,1467,Bundesliga,2018-2019,71158960989778912
57,Manchester City,21,67.8,38.0,32179,2064,6899,16881,10628,1669,30584,438,736,59.5,481,31,24176,125514,73232,3339,944,329,435,465,27133,24631,90.8,2195,Premier League,2018-2019,74026506610392765
58,Manchester Utd,28,54.5,38.0,25121,2343,7335,12598,6657,997,23247,366,601,60.9,393,18,16914,80929,43657,1870,532,192,463,460,19683,16807,85.4,1699,Premier League,2018-2019,29078730489839024
59,Marseille,24,55.2,38.0,24253,2087,7499,12284,6025,876,22375,418,699,59.8,451,24,16419,77449,43346,1639,516,133,524,427,18814,16031,85.2,1307,Ligue 1,2018-2019,66190039714113630
60,Milan,23,54.2,38.0,25372,2621,8291,12354,6452,931,23566,425,690,61.6,462,27,18103,91032,50025,1982,601,152,452,421,20070,17532,87.4,1477,Serie A,2018-2019,59378513948613436
61,Monaco,42,49.9,38.0,22236,1971,6860,11157,5758,785,20300,401,664,60.4,433,19,14877,76796,43638,1663,527,114,500,422,16786,14093,84.0,1754,Ligue 1,2018-2019,79093238158793616
