,PlayerID,Player,Nation,Season,Squad,Gls,G-xG,SCA,Ast,xA,TklW,Int,PressuresSucc,Clr,AerialDuelsWon
1714,31218749543,Charles Aránguiz,CHI,2019-2020,Leverkusen,2.666666666666667,32.323232323232325,20.457142857142856,15.476190476190476,12.698412698412698,37.931034482758626,28.57142857142857,71.37989778534923,1.45,4.36161776367962
1715,31218749543,Charles Aránguiz,CHI,2020-2021,Leverkusen,0.0,30.303030303030308,19.2,0.0,6.349206349206349,45.11494252873563,42.565597667638485,58.94378194207837,1.41,5.551149881046788
1716,31234815241,Sergi Guardiola,ESP,2018-2019,Valladolid,12.0,24.242424242424246,23.08571428571429,7.142857142857142,15.873015873015875,17.241379310344826,5.247813411078717,31.942078364565585,0.77,11.816019032513879
1717,31234815241,Sergi Guardiola,ESP,2019-2020,Valladolid,18.000000000000004,41.41414141414142,19.314285714285713,8.333333333333334,9.523809523809524,10.632183908045976,4.081632653061225,28.620102214650768,0.61,7.295796986518637
1718,31234815241,Sergi Guardiola,ESP,2020-2021,Valladolid,3.3333333333333335,14.141414141414144,15.542857142857144,11.904761904761905,12.698412698412698,10.057471264367814,13.119533527696792,45.40034071550256,0.8,23.949246629659
1719,31237058029,Víctor Díaz,ESP,2019-2020,Granada,2.0,35.35353535353536,16.114285714285714,19.04761904761905,14.285714285714285,40.51724137931034,24.489795918367342,31.942078364565585,4.09,13.402061855670103
1720,31237058029,Víctor Díaz,ESP,2020-2021,Granada,0.0,31.313131313131322,13.714285714285715,26.190476190476193,4.761904761904762,50.0,50.72886297376093,28.70528109028961,5.22,13.79857256145916
1721,31387733778,Ciaran Clark,IRL,2017-2018,Newcastle Utd,6.666666666666667,35.35353535353536,6.514285714285714,5.9523809523809526,3.1746031746031744,13.218390804597702,43.4402332361516,24.190800681431003,8.56,22.918318794607455
1722,31387733778,Ciaran Clark,IRL,2018-2019,Newcastle Utd,21.333333333333336,60.606060606060616,7.199999999999999,0.0,6.349206349206349,33.33333333333333,36.73469387755102,34.07155025553663,7.89,40.04758128469469
1723,31387733778,Ciaran Clark,IRL,2019-2020,Newcastle Utd,10.0,39.3939393939394,0.9142857142857144,0.0,0.0,26.14942528735632,30.903790087463555,28.36456558773424,7.42,18.636003172085648
1724,31387733778,Ciaran Clark,IRL,2020-2021,Newcastle Utd,3.3333333333333335,37.37373737373738,3.314285714285714,0.0,0.0,19.252873563218394,36.15160349854227,19.846678023850085,6.38,29.817605075337035
1725,31430471419,Unai Simón,ESP,2019-2020,Athletic Club,0.0,34.343434343434346,1.3714285714285714,0.0,0.0,0.0,0.0,0.2555366269165247,0.03,0.0
1726,31430471419,Unai Simón,ESP,2020-2021,Athletic Club,0.0,34.343434343434346,1.2571428571428571,0.0,0.0,0.0,0.0,0.42589437819420783,0.05,0.0
1727,31518494331,Carlos Bacca,COL,2017-2018,Villarreal,36.00000000000001,39.3939393939394,29.714285714285715,26.190476190476193,26.984126984126988,5.172413793103448,5.247813411078717,22.14650766609881,0.36,3.172085646312451
1728,31518494331,Carlos Bacca,COL,2018-2019,Villarreal,28.666666666666668,36.36363636363637,32.457142857142856,8.333333333333334,25.396825396825395,10.057471264367814,12.536443148688045,16.950596252129472,0.28,8.406026962727994
1729,31551888364,Charalambos Lykogiannis,GRE,2018-2019,Cagliari,0.0,31.313131313131322,16.114285714285714,13.095238095238097,11.111111111111112,28.160919540229884,47.52186588921282,21.29471890971039,2.72,9.516256938937351
